serial,name,category,syntax_count,first_syntax
69,BI_OhlsonsOScore,Forensic Audit,2,=BI_OhlsonsOScore(E12:E20)
70,BI_OhlsonsOScoreVariables,Forensic Audit,2,=BI_OhlsonsOScoreVariables()
71,BI_PaybackPeriod,Financial,2,=BI_PaybackPeriod(C13:C21)
72,BI_PiotroskiFScore,Forensic Audit,2,"=BI_PiotroskiFScore(C12:C21,D12:D21)"
73,BI_PiotroskiFScoreVariables,Forensic Audit,2,=BI_PiotroskiFScoreVariables()
74,BI_Pivot,Data,2,"=BI_Pivot(SalesTable,12,10,7)"
75,BI_Quarter,Date,4,=BI_Quarter()
76,BI_QuarterEnd,Date,3,=BI_QuarterEnd()
77,BI_QuarterStart,Date,3,=BI_QuarterStart()
78,BI_Rank.Dense,Statistics,3,"=BI_Rank.Dense(B13#,B13#)"
79,BI_Regression,Statistics,2,"=BI_Regression(B12:B32,C12:E32,TRUE,0.9)"
80,BI_RelativeSizeFactor,Forensic Audit,2,"=BI_RelativeSizeFactor(SalesTable[Customer ID],SalesTable[Sales],1,2)"
81,BI_ReverseText,Text,3,=BI_ReverseText(B12)
82,BI_RoundNumbersTest,Forensic Audit,2,"=BI_RoundNumbersTest(CHOOSECOLS(SalesTable,2,12),2,2)"
83,BI_RowOccurence,Array,3,=BI_RowOccurence(B13:E19)
84,BI_RunningTotal,Data,2,=BI_RunningTotal(B12#)
85,BI_RupeeSymbol,Indian,2,=BI_RupeeSymbol()
86,BI_SameSameDifferentTest,Forensic Audit,1,"=BI_SameSameDifferentTest(Data,TestColumns,DifferentColumn)"
87,BI_SameSameSameTest,Forensic Audit,2,"=BI_SameSameSameTest(CHOOSECOLS(SalesTable,1,2,9,12,13),{2,3})"
88,BI_SLNSchedule,Financial,2,"=BI_SLNSchedule(C12,C13,C14)"
89,BI_SubsetNumberDuplicationTest,Forensic Audit,2,"=BI_SubsetNumberDuplicationTest(SalesTable[Customer ID],SalesTable[Sales])"
90,BI_Summary,Data,2,"=BI_Summary(SalesTable,12,7)"
91,BI_TextSplitByPositions,Text,2,"=BI_TextSplitByPositions(B12,$B$21#)"
92,BI_TopN,Statistics,2,"=BI_TopN(CHOOSECOLS(SalesTable,1,2,6,12),4,B12)"
93,BI_TopPercent,Statistics,2,"=BI_TopPercent(CHOOSECOLS(SalesTable,1,2,6,12),4,B12)"
94,BI_Unpivot,Data,3,=BI_Unpivot(B13:E19)
95,BI_UnpivotExceptFirst,Data,2,=BI_UnpivotExceptFirst(B12#)
96,BI_WDVSchedule,Financial,2,"=BI_WDVSchedule(C12,C13,C14)"
97,BI_WordCount,Text,3,=BI_WordCount(B13)
98,BI_Workday.Indian,Indian,1,"=BI_Workday.Indian(StartDate,Days,Holidays)"
99,BI_YearlyCalendar,Date,2,=BI_YearlyCalendar()
100,BI_ZScore,Statistics,1,"=BI_ZScore(D14:D103,TRUE)"
