name,in_xltx,in_pdf_catalog,pdf_category,lambda_params,pdf_syntax,param_match,comment,formula_len
BI_Rank.Dense,True,True,Statistics,"Number, Ref, Order","=BI_Rank.Dense(B13#,B13#)",False,Returns the Rank without any missing rank when there is a tie. ,241
BI_Regression,True,True,Statistics,"KnownYs, KnownXs, Labels, Confidence","=BI_Regression(B12:B32,C12:E32,TRUE,0.9)",False,Calculates the Linear Regression. This is one of the Data Analysis Toolpak features.,3227
BI_RelativeSizeFactor,True,True,Forensic Audit,"categories, rowvalue, first, second","=BI_RelativeSizeFactor(SalesTable[Customer ID],SalesTable[Sales],1,2)",False,Returns the Relative Size Factor of given data on any attribute.,626
BI_ReverseText,True,True,Text,Text,=BI_ReverseText(B12),False,Returns the text in reverse order.,109
BI_RoundNumbersTest,True,True,Forensic Audit,"Data, ColumnIndex, Digits","=BI_RoundNumbersTest(CHOOSECOLS(SalesTable,2,12),2,2)",False,Returns the Round numbers test in data.,1455
BI_RowOccurence,True,True,Array,"Data, SelectedColumns",=BI_RowOccurence(B13:E19),False,Returns how many times the same complete row or selected columns occurs in the data.,996
BI_RunningTotal,True,True,Data,Data,=BI_RunningTotal(B12#),False,Returns Running Total of Data,95
BI_RupeeSymbol,True,True,Indian,,=BI_RupeeSymbol(),True,Returns the Rupee Symbol ₹,33
BI_SLNSchedule,True,True,Financial,"cost, life, scrap","=BI_SLNSchedule(C12,C13,C14)",False,Returns Straight Line Method of Depreciation Schedule.,514
BI_SameSameDifferentTest,True,True,Forensic Audit,"Data, TestColumns, DifferentColumn","=BI_SameSameDifferentTest(Data,TestColumns,DifferentColumn)",True,Returns Same values in specified columns and different value in third column. Useful in forensic audit. ,1626
BI_SameSameSameTest,True,True,Forensic Audit,"Data, TestColumns","=BI_SameSameSameTest(CHOOSECOLS(SalesTable,1,2,9,12,13),{2,3})",False,"Returns Same values in the given columns (like invoice number, supplier id, employee id). Useful in forensic audit. ",1112
BI_SubsetNumberDuplicationTest,True,True,Forensic Audit,"CategoryData, SubsetData","=BI_SubsetNumberDuplicationTest(SalesTable[Customer ID],SalesTable[Sales])",False,Calculates the Subset Number Duplication Test. ,1060
BI_Summary,True,True,Data,"Data, ValueColumn, SummaryColumn, Function","=BI_Summary(SalesTable,12,7)",False,Returns Summary of data according to any attribute.,835
BI_TextSplitByPositions,True,True,Text,"Text, Positions","=BI_TextSplitByPositions(B12,$B$21#)",False,Returns an array of text split by number of positions as in Power Query.,436
BI_TopN,True,True,Statistics,"DataRange, IndexColumn, N","=BI_TopN(CHOOSECOLS(SalesTable,1,2,6,12),4,B12)",False,Returns Top N ranked rows of a column of data.,155
BI_TopPercent,True,True,Statistics,"Data, IndexColumn, Percent","=BI_TopPercent(CHOOSECOLS(SalesTable,1,2,6,12),4,B12)",False,Returns Top N Percentage of Data,584
BI_Unpivot,True,True,Data,"UnpivotData, RemainingData",=BI_Unpivot(B13:E19),False,Returns unpivoted data,1308
BI_UnpivotExceptFirst,True,True,Data,Data,=BI_UnpivotExceptFirst(B12#),False,Unpivot Except First Column,138
BI_WDVSchedule,True,True,Financial,"cost, life, scrap","=BI_WDVSchedule(C12,C13,C14)",False,Returns Written Down Value (Declining Balance) Method of Depreciation Schedule.,557
BI_WordCount,True,True,Text,Text,=BI_WordCount(B13),False,Returns the number of words in text.,191
BI_WorkDay.Indian,True,False,,"StartDate, Days, Holidays","=BI_WorkDay.Indian(C12,C13,B16:B21)",False,Returns the date after a specified number of Indian workdays (Second and Fourth Saturdays as holidays),638
BI_Workday.Indian,False,True,Indian,,"=BI_Workday.Indian(StartDate,Days,Holidays)",,,
BI_YearlyCalendar,True,True,Date,"Year, Format, Vertical",=BI_YearlyCalendar(),False,Returns the Yearly Calendar of any date or current date in horizontal or vertical format.,1530
BI_ZScore,True,True,Statistics,"Data, Population","=BI_ZScore(D14:D103,TRUE)",False,Returns the Z Score of data.,225
